ID,Name,mean.offset,perc.offset,RSD.offset,Fraction
461,4-Aminobutyric acid,27347319.583333332,70.33633631769666,19.550888672150727,HILIC_Pos
258,beta-Alanine,62288206.5,94.94670060470854,34.616799845438216,HILIC_Pos
943,beta-Alaninebetaine,11486185.916666666,40.189521644666044,9.967242749321043,HILIC_Pos
1519,Betonicine,-547660.9166666666,-37.59293867693318,74.66194651413657,HILIC_Pos
716,Dimethylsulfonioacetate,333108.75,38.50555701547195,47.58324652183243,HILIC_Pos
5986,Glutathione disulfide,-278767.6666666667,-12.76513498952085,77.31942948884381,HILIC_Pos
674,Glycine betaine,65550193.333333336,16.810916413566165,9.918356621360529,HILIC_Pos
1855,Gonyol,98407.5,34.203880489024925,75.66527718572809,HILIC_Pos
1339,Guanine,2692505.9166666665,27.04877440020542,27.330139653851603,HILIC_Pos
704,L-Homoserine,11922143.416666666,83.91397918787783,44.97837932973064,HILIC_Pos
942,L-Isoleucine,29935013.333333332,20.79823914295461,23.691216678587352,HILIC_Pos
957,L-Ornithine,2345338.5,69.87980818650676,24.05146825042467,HILIC_Pos
480,L-Serine,1492351.5833333333,10.070505157983533,22.95589335834172,HILIC_Pos
677,L-Valine,51233598.833333336,54.87593956797229,26.471412028513786,HILIC_Pos
838,Melamine,538970,11.2214746702489,484.7853399293186,HILIC_Pos
2055,N6-Acetyl-L-lysine,242816.66666666666,15.024259863905097,106.56555246737689,HILIC_Pos
1191,Proline betaine,-716405.4166666666,-12.298200906747988,325.033960034047,HILIC_Pos
1521,Turicine,-109913.08333333333,-20.981511806183686,253.82541617629713,HILIC_Pos
12,Urea,4373743.833333333,70.98454656736182,20.6577140081199,HILIC_Pos
905,Pipecolic acid,2019742,11.21848707347866,27.75486192784421,HILIC_Pos
958,"L-Isoleucine, 15N",9795219.333333334,52.64137454093609,22.602900802156675,HILIC_Pos
1433,D-Gluconic acid,425698.5833333333,14.644170191027877,69.1178129823683,HILIC_Neg
603,5-Oxoproline,4616966.416666667,16.83277869586421,158.3169008943328,HILIC_Neg
671,Malic acid,6520102.916666667,16.968579280629044,146.2653495979201,HILIC_Neg
946,Orotic acid,-828159.6666666666,-159.60964848319762,94.43968481234432,HILIC_Neg
702,Threonic acid,2578630.75,20.706032824564577,35.3089159384455,HILIC_Neg
586,Thymine,2659569,26.30808692446494,63.4248242552512,HILIC_Neg
409,Uracil,2376325.3333333335,45.26931307618416,28.295561483804978,HILIC_Neg
609,"Taurine, 2H4",57408543.916666664,77.88019261255418,30.682749538886185,HILIC_Neg
