MF,Name,mz,RT,RT.seconds,id,adduct,ionMass,retentionTimeInSeconds,molecularFormula,precursorFormula,SiriusScore,TreeScore,IsotopeScore,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#all classifications,formulaRank,#adducts,#predictedFPs,ConfidenceScore,CSI:FingerIDScore,ZodiacScore,InChIkey2D,InChI,name,smiles,xlogp,pubchemids,links,dbflags,fraction
HPos_1022,Trigonelline,138.05481,8.484,509.04,91_200929_Poo_TruePooMortality_DDApos_91,[M + H]+,138.05494,522.125,C7H7NO2,C7H7NO2,22.5533696284805,22.5533696284805,0,Alkaloids,0.9980868101119996,Nicotinic acid alkaloids,0.9695722460746764,Pyridine alkaloids,0.9624497294425964,Pyridinecarboxylic acids,0.9890572428703308,Pyridinecarboxylic acids,0.9890572428703308,Pyridinecarboxylic acids and derivatives,0.9969059824943542,Pyridines and derivatives,0.9999110698699952,Organoheterocyclic compounds,1,Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acid salts; Carboxylic acids; Pyridinecarboxylic acids and derivatives; Pyridinium derivatives; Pyridinecarboxylic acids; Organic cations; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; N-methylpyridinium compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,1,1,1,0.380191459778242,-19.443423704712632,N/A,WWNNZCOKKKDOPX,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3/p+1",Gynesine,C[N+]1=CC=CC(=C1)C(=O)O,0.5,5570;5571;76974593;76974595,HMDB:(875);SuperNatural:(SN00000081 SN00317202);ZINC bio:(ZINC00001082);additional;HSDB:(535-83-1);MeSH:(5570);Plantcyc:(METHYLNICOTINATE);PubMed;NORMAN:(NS00014578);COCONUT:(CNP0096012 CNP0311513 CNP0337775);KNApSAcK:(1555);Natural Products:(UNPD54078 UNPD75402);PubChem:(5570 5571 76974593 76974595);CHEBI:(50521 18123);PubChem class - bio and metabolites;KEGG:(C01004);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(METHYLNICOTINATE),121564030,HPos
HPos_1022,Trigonelline,138.05481,8.484,509.04,90_200929_Poo_TruePooMortality_DDApos_90,[M + H]+,138.0549,520.091,C7H7NO2,C7H7NO2,12.609548412503502,9.581459533408278,3.0280888790952245,Alkaloids,0.9981604218482972,Nicotinic acid alkaloids,0.9282012581825256,Pyridine alkaloids,0.9094061851501464,Pyridinecarboxylic acids,0.9952579140663148,Pyridinecarboxylic acids,0.9952579140663148,Pyridinecarboxylic acids and derivatives,0.9989598989486694,Pyridines and derivatives,0.9998250603675842,Organoheterocyclic compounds,1,Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acid salts; Carboxylic acids; Pyridinecarboxylic acids and derivatives; Pyridinium derivatives; Pyridinecarboxylic acids; Organic cations; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; N-methylpyridinium compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,1,1,1,0.3052705416718,-17.69484055685655,N/A,WWNNZCOKKKDOPX,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3/p+1",Gynesine,C[N+]1=CC=CC(=C1)C(=O)O,0.5,5570;5571;76974593;76974595,HMDB:(875);SuperNatural:(SN00000081 SN00317202);ZINC bio:(ZINC00001082);additional;HSDB:(535-83-1);MeSH:(5570);Plantcyc:(METHYLNICOTINATE);PubMed;NORMAN:(NS00014578);COCONUT:(CNP0096012 CNP0311513 CNP0337775);KNApSAcK:(1555);Natural Products:(UNPD54078 UNPD75402);PubChem:(5570 5571 76974593 76974595);CHEBI:(50521 18123);PubChem class - bio and metabolites;KEGG:(C01004);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(METHYLNICOTINATE),121564030,HPos
HPos_1157,Ectoine,143.08125,10.162,609.72,125_200929_Poo_TruePooMortality_DDApos_125,[M + H]+,143.08128,609.395,C6H10N2O2,C6H10N2O2,25.39382578729388,20.38166092813254,5.012164859161337,Amino acids and Peptides,0.8556554317474365,Small peptides,0.9143081307411194,Aminoacids,0.8217657804489136,Alpha amino acids and derivatives,0.9299697279930116,Amino acids and derivatives,0.8712727427482605,"Amino acids, peptides, and analogues",0.8723273873329163,Carboxylic acids and derivatives,0.998009979724884,Organic acids and derivatives,0.9974036812782288,"Organic compounds; Organoheterocyclic compounds; Amidines; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxamidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidamides; Imidolactams; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,1,1,0.720177483690752,-32.76734725732019,N/A,WQXNXVUDBPYKBA,"InChI=1S/C6H10N2O2/c1-4-7-3-2-5(8-4)6(9)10/h5H,2-3H2,1H3,(H,7,8)(H,9,10)",ectoine,CC1=NCCC(N1)C(=O)O,-0.800000012,690;126041;6993223;23112839;25246277;45107271;44629505;58318538;91350612;135909576;137208342,SuperNatural:(SN00213400 SN00323407 SN00310822 SN00297657);ZINC bio:(ZINC01612568);additional;MeSH:(690 126041);PubMed;NORMAN:(NS00005788);COCONUT:(CNP0167414 CNP0261015);Natural Products:(UNPD43766 UNPD6840 UNPD14288);PubChem:(690 126041 6993223 23112839 25246277 45107271 44629505 58318538 91350612 135909576 137208342);CHEBI:(58515 63475 27592);PubChem class - bio and metabolites;KEGG:(C06231);Training Set;Biocyc:(ECTOINE),20769126,HPos
HPos_1157,Ectoine,143.08125,10.162,609.72,128_200929_Poo_TruePooMortality_DDApos_128,[M + H]+,143.08128,611.261,C6H10N2O2,C6H10N2O2,24.75663581921791,21.87367616386092,2.882959655356988,Amino acids and Peptides,0.856561541557312,Small peptides,0.9206299781799316,Aminoacids,0.8216667771339417,Alpha amino acids and derivatives,0.9264609217643738,Amino acids and derivatives,0.8586382269859314,"Amino acids, peptides, and analogues",0.8599381446838379,Carboxylic acids and derivatives,0.9973950386047364,Organic acids and derivatives,0.9965254664421082,"Organic compounds; Organoheterocyclic compounds; Amidines; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxamidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidamides; Imidolactams; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,1,1,0.725644288788122,-33.57424829617361,N/A,WQXNXVUDBPYKBA,"InChI=1S/C6H10N2O2/c1-4-7-3-2-5(8-4)6(9)10/h5H,2-3H2,1H3,(H,7,8)(H,9,10)",ectoine,CC1=NCCC(N1)C(=O)O,-0.800000012,690;126041;6993223;23112839;25246277;45107271;44629505;58318538;91350612;135909576;137208342,SuperNatural:(SN00213400 SN00323407 SN00310822 SN00297657);ZINC bio:(ZINC01612568);additional;MeSH:(690 126041);PubMed;NORMAN:(NS00005788);COCONUT:(CNP0167414 CNP0261015);Natural Products:(UNPD43766 UNPD6840 UNPD14288);PubChem:(690 126041 6993223 23112839 25246277 45107271 44629505 58318538 91350612 135909576 137208342);CHEBI:(58515 63475 27592);PubChem class - bio and metabolites;KEGG:(C06231);Training Set;Biocyc:(ECTOINE),20769126,HPos
HPos_1241,L-Glutamine,147.07626,11.233,673.98,158_200929_Poo_TruePooMortality_DDApos_158,[M + H]+,147.07635,659.974,C5H10N2O3,C5H10N2O3,62.27254630274189,57.54547411671664,4.727072186025245,Amino acids and Peptides,0.9971500039100648,Small peptides,0.999170184135437,Aminoacids,0.992760419845581,D-alpha-amino acids,0.5463649034500122,Amino acids and derivatives,0.994818389415741,"Amino acids, peptides, and analogues",0.995028555393219,Carboxylic acids and derivatives,0.9998767375946044,Organic acids and derivatives,0.9999996423721312,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidic acids and derivatives; Alpha amino acids; Amines; Primary amines; Carboximidic acids; Fatty Acyls; Organic oxides; D-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,1,1,0.896650504485539,-1.705642525177835,N/A,ZDXPYRJPNDTMRX,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)",glutamin,C(CC(=O)N)C(C(=O)O)N,-1.80237091,738;5961;145815;3949139;5460866;5460862;5460863;5460865;5460870;5460871;6992086;6992096;11789351;15560190;15560193;15560194;16213341;16217249;16217534;16217562;16217702;25244553;60111834;56835788;57616937;59584414;59274060;58203006;71308839;71308840;71308841;71308842;71309440;71309658;71309916;71309977;86671832;87103585;87103617;87528065;87151912;88901893;88959280;87944963;87945056;90973518;91337929;101964087;101964088;102387240;117059134;124202803;129848886;131879741,HMDB:(641 3423);PubChem class - food;SuperNatural:(SN00002229 SN00002216);ZINC bio:(ZINC01532526 ZINC01532609);additional;HSDB:(56-85-9);MeSH:(5961 145815);Plantcyc:(GLN GLUTAMIDE);PubMed;NORMAN:(NS00006419);COCONUT:(CNP0361973);KNApSAcK:(1359);Natural Products:(UNPD3701);PubChem:(738 5961 145815 3949139 5460866 5460862 5460863 5460865 5460870 5460871 6992086 6992096 11789351 15560190 15560193 15560194 16213341 16217249 16217534 16217562 16217702 25244553 60111834 56835788 57616937 59584414 59274060 58203006 71308839 71308840 71308841 71308842 71309440 71309658 71309916 71309977 86671832 87103585 87103617 87528065 87151912 88901893 88959280 87944963 87945056 90973518 91337929 101964087 101964088 102387240 117059134 124202803 129848886 131879741);CHEBI:(32666 32678 32665 28300 32672 17061 58359 32673 18050 32679 58000);PubChem class - bio and metabolites;KEGG:(C00064 C00303 C00819);PubChem class - safety and toxic;YMDB:(990 2);Training Set;PubChem class - drug;Biocyc:(GLN GLUTAMIDE),255847294,HPos
HPos_1241,L-Glutamine,147.07626,11.233,673.98,159_200929_Poo_TruePooMortality_DDApos_159,[M + H]+,147.07639,661.132,C5H10N2O3,C5H10N2O3,56.19551360226664,51.48062802067613,4.714885581590512,Amino acids and Peptides,0.9973734617233276,Small peptides,0.999341070652008,Aminoacids,0.992313802242279,D-alpha-amino acids,0.5474969148635864,Amino acids and derivatives,0.9955818057060242,"Amino acids, peptides, and analogues",0.9957738518714904,Carboxylic acids and derivatives,0.999904990196228,Organic acids and derivatives,0.9999996423721312,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidic acids and derivatives; Alpha amino acids; Amines; Primary amines; Carboximidic acids; Fatty Acyls; Organic oxides; D-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,1,1,0.905271835532944,-2.6027078954961995,N/A,ZDXPYRJPNDTMRX,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)",glutamin,C(CC(=O)N)C(C(=O)O)N,-1.80237091,738;5961;145815;3949139;5460866;5460862;5460863;5460865;5460870;5460871;6992086;6992096;11789351;15560190;15560193;15560194;16213341;16217249;16217534;16217562;16217702;25244553;60111834;56835788;57616937;59584414;59274060;58203006;71308839;71308840;71308841;71308842;71309440;71309658;71309916;71309977;86671832;87103585;87103617;87528065;87151912;88901893;88959280;87944963;87945056;90973518;91337929;101964087;101964088;102387240;117059134;124202803;129848886;131879741,HMDB:(641 3423);PubChem class - food;SuperNatural:(SN00002229 SN00002216);ZINC bio:(ZINC01532526 ZINC01532609);additional;HSDB:(56-85-9);MeSH:(5961 145815);Plantcyc:(GLN GLUTAMIDE);PubMed;NORMAN:(NS00006419);COCONUT:(CNP0361973);KNApSAcK:(1359);Natural Products:(UNPD3701);PubChem:(738 5961 145815 3949139 5460866 5460862 5460863 5460865 5460870 5460871 6992086 6992096 11789351 15560190 15560193 15560194 16213341 16217249 16217534 16217562 16217702 25244553 60111834 56835788 57616937 59584414 59274060 58203006 71308839 71308840 71308841 71308842 71309440 71309658 71309916 71309977 86671832 87103585 87103617 87528065 87151912 88901893 88959280 87944963 87945056 90973518 91337929 101964087 101964088 102387240 117059134 124202803 129848886 131879741);CHEBI:(32666 32678 32665 28300 32672 17061 58359 32673 18050 32679 58000);PubChem class - bio and metabolites;KEGG:(C00064 C00303 C00819);PubChem class - safety and toxic;YMDB:(990 2);Training Set;PubChem class - drug;Biocyc:(GLN GLUTAMIDE),255847294,HPos
HPos_1263,Unknown,148.06003,11.224,673.44,153_200929_Poo_TruePooMortality_DDApos_153,[M + H]+,148.06029,654.266,C5H9NO4,C5H9NO4,44.57170835803971,39.64505517398545,4.926653184054262,Amino acids and Peptides,0.9815714955329896,Small peptides,0.9976348876953124,Aminoacids,0.9861595034599304,Alpha amino acids,0.9233161807060242,Amino acids and derivatives,0.9993441700935364,"Amino acids, peptides, and analogues",0.9993434548377992,Carboxylic acids and derivatives,0.9999994039535522,Organic acids and derivatives,0.9999998807907104,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,2,2,0.602548577789607,-1.2564079325415576,N/A,WHUUTDBJXJRKMK,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",Glutamat,C(CC(=O)O)C(C(=O)O)N,-1.32391071,611;23327;33032;104813;168158;450555;450602;4525487;4179667;4452358;5128032;5147171;5460297;5460299;5460543;5460544;10582905;12248489;12248490;12248491;12248492;12248499;12248500;12248502;12248503;10942598;10057642;11629711;11701061;14598502;11840951;10351852;10396980;16213329;16213424;16213454;16217561;21575125;42615584;44272391;51037439;51037437;51037438;51037440;46932125;50992608;54431527;54431528;57397101;56638524;56845125;56845930;56845948;57607970;57607968;57607971;57607976;57616920;71308417;71308849;71309035;71309130;71309247;71309316;71309505;71309806;71310326;87150909;87206355;88747398;88901897;89254549;90324386;91031500;91083019;91158404;90472821;91466291;101073736;101129201;101129202;102351656;102602046;117064483;117064484;119077677;119077680;119080345;121494059;124202791;129656111;129680450;133188389;132594196;132594197;131667875;131708707;131873974;134775857;139592947;139054390;138397024,HMDB:(148 3339 60475);PubChem class - food;SuperNatural:(SN00002027 SN00335254);ZINC bio:(ZINC00895124 ZINC01482113);additional;HSDB:(56-86-0);MeSH:(611 23327 33032 104813 4525487 5128032 5147171 5460299 5460544 11840951 14598502);Plantcyc:(D-GLT GLT);PubMed;NORMAN:(NS00008008);COCONUT:(CNP0086235 CNP0191057 CNP0200734);KNApSAcK:(19577);Natural Products:(UNPD80939 UNPD56979 UNPD112821);PubChem:(611 23327 33032 104813 168158 450555 450602 4525487 4179667 4452358 5128032 5147171 5460297 5460299 5460543 5460544 10582905 12248489 12248490 12248491 12248492 12248499 12248500 12248502 12248503 10942598 10057642 11629711 11701061 14598502 11840951 10351852 10396980 16213329 16213424 16213454 16217561 21575125 42615584 44272391 51037439 51037437 51037438 51037440 46932125 50992608 54431527 54431528 57397101 56638524 56845125 56845930 56845948 57607970 57607968 57607971 57607976 57616920 71308417 71308849 71309035 71309130 71309247 71309316 71309505 71309806 71310326 87150909 87206355 88747398 88901897 89254549 90324386 91031500 91083019 91158404 90472821 91466291 101073736 101129201 101129202 102351656 102602046 117064483 117064484 119077677 119077680 119080345 121494059 124202791 129656111 129680450 133188389 132594196 132594197 131667875 131708707 131873974 134775857 139592947 139054390 138397024);CHEBI:(14321 76051 29987 29986 16015 53375 53374 29988 29985 15966 53373 29989 18237);PubChem class - bio and metabolites;KEGG:(C00025 C00217 C00302);PubChem class - safety and toxic;YMDB:(271);Training Set;PubChem class - drug;Biocyc:(CPD1UA-4 GLT SMA-0000342 D-GLT),255847294,HPos
HPos_1419,L-Histidine,156.07669,11.085,665.1,146_200929_Poo_TruePooMortality_DDApos_146,[M + CH2O2 + H]+,156.0768,646.873,C5H7N3,C6H9N3O2,28.800064217962017,28.800064217962017,0,Amino acids and Peptides,0.9956501126289368,Small peptides,0.9995123147964478,Aminoacids,0.9930222630500792,Histidine and derivatives,0.8451619148254395,Amino acids and derivatives,0.9998356103897096,"Amino acids, peptides, and analogues",0.9998486042022704,Carboxylic acids and derivatives,0.9990546107292176,Organic acids and derivatives,0.9997932314872742,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,2,2,0.663116754181584,-1.7013742779424166,N/A,HNDVDQJCIGZPNO,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)",histidin,C1=C(NC=N1)CC(C(=O)O)N,-3.20000005,773;6274;71083;135379;3651426;3651721;3723250;4629346;5247180;5288059;5288559;5460934;5460936;5460937;5460941;5460943;5460945;5460948;6971009;6971048;9815258;10103401;11159446;11159482;10261337;11194454;10313231;15556516;10329518;11378637;16056331;16217281;16217564;22058933;25240990;25241086;25241111;25241571;46781699;51342292;59048770;59373198;58203003;71725525;71777659;73755104;71309184;71309586;71309659;71309677;86580368;87528073;90472119;101100551;102176482;102462245;118264376;122411931;122411932;124202807;130346518;129716535;132472196;136205229;136264951;136264952;136768573;136768597;136768598;136802402;137333494;136951621,HMDB:(177);PubChem class - food;ZINC bio:(ZINC06661227 ZINC06661404 ZINC18274816 ZINC19014871);additional;HSDB:(71-00-1);MeSH:(6274 5288559 6971009);Plantcyc:(HIS);PubMed;NORMAN:(NS00005578);COCONUT:(CNP0082853 CNP0161367 CNP0173055 CNP0255571);KNApSAcK:(1363);Natural Products:(UNPD182729 UNPD171151);PubChem:(773 6274 71083 135379 3651426 3651721 3723250 4629346 5247180 5288059 5288559 5460934 5460936 5460937 5460941 5460943 5460945 5460948 6971009 6971048 9815258 10103401 11159446 11159482 10261337 11194454 10313231 15556516 10329518 11378637 16056331 16217281 16217564 22058933 25240990 25241086 25241111 25241571 46781699 51342292 59048770 59373198 58203003 71725525 71777659 73755104 71309184 71309586 71309659 71309677 86580368 87528073 90472119 101100551 102176482 102462245 118264376 122411931 122411932 124202807 130346518 129716535 132472196 136205229 136264951 136264952 136768573 136768597 136768598 136802402 137333494 136951621);CHEBI:(27570 57595 32512 32532 32529 32523 27947 32531 32527 32526 32513 32510 142967 15971);PubChem class - bio and metabolites;KEGG:(C00135 C00768 C06419);PubChem class - safety and toxic;YMDB:(794 369);Training Set;PubChem class - drug;Biocyc:(CPD-12151 CPD-12472 HIS),254798718,HPos
HPos_1419,L-Histidine,156.07669,11.085,665.1,149_200929_Poo_TruePooMortality_DDApos_149,[M + H]+,156.07672,647.813,C6H9N3O2,C6H9N3O2,25.661491466078473,25.661491466078473,0,Amino acids and Peptides,0.9956661462783812,Small peptides,0.9995083808898926,Aminoacids,0.993022620677948,Histidine and derivatives,0.8514600992202759,Amino acids and derivatives,0.9998372793197632,"Amino acids, peptides, and analogues",0.9998502731323242,Carboxylic acids and derivatives,0.9990431666374208,Organic acids and derivatives,0.999795138835907,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,2,2,0.623753428150234,-2.035965818130449,N/A,HNDVDQJCIGZPNO,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)",histidin,C1=C(NC=N1)CC(C(=O)O)N,-3.20000005,773;6274;71083;135379;3651426;3651721;3723250;4629346;5247180;5288059;5288559;5460934;5460936;5460937;5460941;5460943;5460945;5460948;6971009;6971048;9815258;10103401;11159446;11159482;10261337;11194454;10313231;15556516;10329518;11378637;16056331;16217281;16217564;22058933;25240990;25241086;25241111;25241571;46781699;51342292;59048770;59373198;58203003;71725525;71777659;73755104;71309184;71309586;71309659;71309677;86580368;87528073;90472119;101100551;102176482;102462245;118264376;122411931;122411932;124202807;130346518;129716535;132472196;136205229;136264951;136264952;136768573;136768597;136768598;136802402;137333494;136951621,HMDB:(177);PubChem class - food;ZINC bio:(ZINC06661227 ZINC06661404 ZINC18274816 ZINC19014871);additional;HSDB:(71-00-1);MeSH:(6274 5288559 6971009);Plantcyc:(HIS);PubMed;NORMAN:(NS00005578);COCONUT:(CNP0082853 CNP0161367 CNP0173055 CNP0255571);KNApSAcK:(1363);Natural Products:(UNPD182729 UNPD171151);PubChem:(773 6274 71083 135379 3651426 3651721 3723250 4629346 5247180 5288059 5288559 5460934 5460936 5460937 5460941 5460943 5460945 5460948 6971009 6971048 9815258 10103401 11159446 11159482 10261337 11194454 10313231 15556516 10329518 11378637 16056331 16217281 16217564 22058933 25240990 25241086 25241111 25241571 46781699 51342292 59048770 59373198 58203003 71725525 71777659 73755104 71309184 71309586 71309659 71309677 86580368 87528073 90472119 101100551 102176482 102462245 118264376 122411931 122411932 124202807 130346518 129716535 132472196 136205229 136264951 136264952 136768573 136768597 136768598 136802402 137333494 136951621);CHEBI:(27570 57595 32512 32532 32529 32523 27947 32531 32527 32526 32513 32510 142967 15971);PubChem class - bio and metabolites;KEGG:(C00135 C00768 C06419);PubChem class - safety and toxic;YMDB:(794 369);Training Set;PubChem class - drug;Biocyc:(CPD-12151 CPD-12472 HIS),254798718,HPos
HPos_1446,Unknown,157.09721,9.022,541.32,94_200929_Poo_TruePooMortality_DDApos_94,[M + H]+,157.09723,543.739,C7H12N2O2,C7H12N2O2,74.18481081091919,71.2924333792419,2.8923774316772866,Amino acids and Peptides,0.8957653641700745,Small peptides,0.9728223085403442,Aminoacids,0.7958874702453613,Alpha amino acids,0.6477599740028381,Amino acids and derivatives,0.9954909682273864,"Amino acids, peptides, and analogues",0.9955054521560668,Carboxylic acids and derivatives,0.9993657469749452,Organic acids and derivatives,0.9998542070388794,"Organic compounds; Organoheterocyclic compounds; Amidines; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Piperazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxamidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Diazinanes; Alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; Carboximidamides; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1,1,1,0.695144022098375,-85.46151148775333,N/A,DUXQJVAWRJYWOK,"InChI=1S/C7H12N2O2/c1-5-8-4-2-3-6(9-5)7(10)11/h6H,2-4H2,1H3,(H,8,9)(H,10,11)","2-methyl-4,5,6,7-tetrahydro-1H-1,3-diazepine-7-carboxylic acid",CC1=NCCCC(N1)C(=O)O,-0.400000006,15020020;45082159;45107421;138376408,MeSH:(15020020 45082159);PubChem:(15020020 45082159 45107421 138376408);PubMed,70,HPos
