Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
Me-B12,B12,230511_Blk_DOM_blk_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,13,0,2
Me-B12,B12,230511_Blk_DOM_blk_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,15,5,2
Me-B12,B12,230511_Blk_Filter_blk_1,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,2,8,2
Me-B12,B12,230511_Blk_Filter_blk_2,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,6,5,2
Me-B12,B12,230511_Blk_Media_blk,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,4,1,2
Me-B12,B12,230511_Poo_TruePooMortality_Full1,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,1362,2,2
Me-B12,B12,230511_Poo_TruePooMortality_Full2,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,10,0,2
Me-B12,B12,230511_Poo_TruePooMortality_Full3,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,4,5,2
Me-B12,B12,230511_Poo_TruePooMortality_Full4,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,0,13,2
Me-B12,B12,230511_Smp_A_1C_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.33,45,9,2
Me-B12,B12,230511_Smp_A_1C_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.26,32,0,2
Me-B12,B12,230511_Smp_A_1C_T18,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,21,0,2
Me-B12,B12,230511_Smp_A_1C_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,22,1,2
Me-B12,B12,230511_Smp_A_1C_T30,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,17,12,2
Me-B12,B12,230511_Smp_A_1C_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.26,53,46,2
Me-B12,B12,230511_Smp_A_1C_T42,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,18,1,2
Me-B12,B12,230511_Smp_A_1C_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,7,1,2
Me-B12,B12,230511_Smp_A_1C_T6,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,6,0,1
Me-B12,B12,230511_Smp_A_3LV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,19,4,2
Me-B12,B12,230511_Smp_A_3LV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,10,6,2
Me-B12,B12,230511_Smp_A_3LV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,346,14,2
Me-B12,B12,230511_Smp_A_3LV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,6,0,2
Me-B12,B12,230511_Smp_A_3LV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,11,2,2
Me-B12,B12,230511_Smp_A_4LGV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,22,0,2
Me-B12,B12,230511_Smp_A_4LGV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,20,0,2
Me-B12,B12,230511_Smp_A_4LGV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,4,12,2
Me-B12,B12,230511_Smp_A_4LGV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.33,46,0,2
Me-B12,B12,230511_Smp_A_4LGV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.26,11,0,2
Me-B12,B12,230511_Smp_A_6HV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,30,1,2
Me-B12,B12,230511_Smp_A_6HV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.26,18,22,2
Me-B12,B12,230511_Smp_A_6HV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,25,0,2
Me-B12,B12,230511_Smp_A_6HV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,16,0,2
Me-B12,B12,230511_Smp_A_6HV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,4,12,2
Me-B12,B12,230511_Smp_A_8G_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,0,15,2
Me-B12,B12,230511_Smp_A_8G_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,338,21,1
Me-B12,B12,230511_Smp_A_9V_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.34,24,0,2
Me-B12,B12,230511_Smp_B_1C_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,35,4,2
Me-B12,B12,230511_Smp_B_1C_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,55,0,2
Me-B12,B12,230511_Smp_B_1C_T18,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,46,0,2
Me-B12,B12,230511_Smp_B_1C_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,21,5,2
Me-B12,B12,230511_Smp_B_1C_T30,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,56,1,2
Me-B12,B12,230511_Smp_B_1C_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,14,26,2
